TABLE_NAME,TABLE_TEXT
UUCPREP,Statement Master PIM4151 Physical file
UUCQREP,Payroll Codes Structure Physical file
UUCRREP,Labour Cost EB Physical file
UUCSREP,Employee Dependant Physical file
UUCTCPP,Cash Flow Period Balance Physical file
UUCUREP,Project Category Physical file
UUCVREP,Subcontractor Physical file
UUCWREP,Vacation Pay Type Physical file
UUCXCPP,Sub-Contract CPOC Physical file
UUCYCPP,Cost Face Sheet Physical file
UUCZREP,Bank Physical file
UUC0REP,Payroll Group Auth Physical file
UUC1CPP,Cash Requirements Physical file
UUC2REP,Account Type Physical file
UUC3REP,GL User Authority Physical file
UUC4CPP,Employee PR Code History Physical file
UUC6CPP,Time Sheets Payroll Codes Physical file
UUC7CPP,AR Payments Physical file
UUC8REP,System Control Physical file
UUC9REP,Chart of Accounts Struct Physical file
UUDACPP,Cheque Recn Batch Physical file
UUDBCPP,Cheque Recn Dtls Physical file
UUDCREP,Daily Deposit Physical file
UUDDREP,Warehouse Category Physical file
UUDEREP,Utilities Physical file
UUDFREP,Tax Table File Physical file
UUDGREP,Material Cost EB Physical file
UUDHREP,AP Purchase Card Vendor Physical file
UUDIREP,PR TD1 Form Physical file
UUDJCPP,Time Sheets UI Weeks Physical file
UUDKREP,P&L Data Sub-Area Physical file
UUDLREP,Company Extension Physical file
UUDMCPP,Payroll GL Trans Physical file
UUDOCPP,PR Direct Deposit Rcd A Physical file
UUDPCPP,PR Direct Deposit Rcd C Physical file
UUDQCPP,PR Direct Deposit Rcd Z Physical file
UUDRREP,Sub-Contract Extension Physical file
UUDSREP,Project GST File Physical file
UUDTREP,Project Spreadsheet Physical file
UUDUCPP,AR Invoice GST File Physical file
UUDVREP,Area Address Physical file
UUDWREP,Payment Terms Discount Physical file
UUDXCPP,Contract History Physical file
UUDYREP,PIM4150 Forecast Physical file
UUDZCPP,PIM4151 OH Report Physical file
UUD0CPP,Batch/Voucher Physical file
UUD1REP,SIC Master Physical file
UUD2REP,SIC Book Master Physical file
UUD3CPP,AP Cheques/Vouched Physical file
UUD4CPP,Change Order Allocation Physical file
UUD5CPP,SIC Worksheet Physical file
UUD6CPP,PIM4151 Long Cnsl Report Physical file
UUD7CPP,PIM4151 Long Cnsl Othr Inc Physical file
UUD8CPP,XR Cash Gen. Rpt Extract Physical file
